log_id,user_id,video_id,watch_date,subscribed,playlist_name,video_title
146524,25,F8wJdvXK5yU,2018-09-11 17:02:26,,,SkiVel
146525,25,YJbS-WA7tVg,2018-09-10 23:37:46,,,"Lords mobile! What are familiars, And how do you use them"
146526,25,TRa9IMvccjg,2018-09-10 23:27:00,,,DILBAR Full Song | Satyameva Jayate | John Abraham Nora Fatehi | Tanishk B Neha Kakkar Ikka Dhvani
146527,25,BIgQ0UQIkqo,2018-09-10 23:24:16,,,Peekaboo Playground | Kids Songs | Super Simple Songs
146528,25,6lv5zSNq5HQ,2018-09-10 23:20:54,,,Goal # 5 | All Aboard For Global Goals! | Thomas & Friends
146529,25,fNPloczek6Q,2018-09-10 23:17:35,,,Party Street | Hi-5 Season 17 Songs of the Week and more Kids Songs
146533,25,Q5JnbpltAAo,2018-09-10 22:59:44,,,The Evil Jungle | Ben 10 | Cartoon Network
146535,25,jrt8GkegKO8,2018-09-10 22:59:08,,,Powerpuff Girls Was About a Wrestler?! | WHAT THEY GOT RIGHT
146536,25,BPTcFmdcsoQ,2018-09-10 22:58:40,,,StoryBots | Learn The Planets In The Solar System | Outer Space Songs For Kids | Netflix Jr
146537,25,jVDIbxTOaeE,2018-09-10 22:58:14,,,🔴 POCOYO in ENGLISH - Having a Ball 🔴 | Full Episodes | VIDEOS and CARTOONS FOR KIDS
146538,25,dL6Nzib18h8,2018-09-10 22:57:16,,,Tweens Make Assumptions About College Students | Reverse Assumptions
146539,25,-qAkopowVeI,2018-09-10 22:56:57,,,NAME THE BABY! 24 weeks Bump Update + LIFE UPDATE!
146540,25,0deHvUC-2zg,2018-09-10 22:56:38,,,Learning to Speak Turkey | BBC Earth
146541,25,GCMNwDVyTS8,2018-09-10 22:56:18,,,Simple Simon | Nursery Rhymes | Kids Songs For Children By Junior Squad
146542,25,_btWt3vqKr4,2018-09-10 22:55:20,,,Just a Little Horse | Barnyard Babies with Dr. Pol
146543,25,IMgE_CvECBU,2018-09-10 22:51:49,,,B-I-N-G-O 🐶 The Wiggles Nursery Rhymes 2 (Part 1 of 3) 😂 Kids Songs & Toddler Tunes | BINGO
146544,25,xw1q2e9PP4w,2018-09-07 12:01:27,,,Mickey and the Roadster Racers |  Sing Along To the Theme Song! | Disney Kids
146545,25,snmWXothM-A,2018-09-06 23:59:43,,,UK: Latias and Latios Join the Legendary Lineup in September
146546,25,vczuEEr90aM,2018-09-06 23:55:54,,,Tekkerz Kid introduces: Apple & Onion | Goodbye + Pizza Party | 2 in 1 | Cartoon Network
146547,25,DnW1b9q8mq8,2018-09-06 01:03:28,,,Doubledecker Balancing Cubes
146548,25,68SCORrAIjo,2018-09-06 01:01:24,,,Johny Johny Yes Papa 3D Nursery Rhymes & Songs For Babies - Live Stream
146549,25,x1j4VPudwJo,2018-09-06 01:00:40,,,Pineapple - Fine Fine Pineapple | Fruit Songs | Nursery Rhyme | Pinkfong Songs for Children
146550,25,il-2SmoQS7Y,2018-09-06 12:59:51,,,How To Draw A Funny Scarecrow
146551,25,XbmCDPn_HuM,2018-09-06 12:59:20,,,How To Draw A Great White Shark
146552,25,a0bfO_GbS10,2018-09-06 12:58:54,,,Alien Worlds: Grey Matter | Ben 10 | Cartoon Network
146553,25,FejwYVA4lCw,2018-09-06 12:58:21,,,"A Beekeeper's Life | Weirdest, Bestest, Truest"
146554,25,1-RNHc3jkDY,2018-09-06 12:57:56,,,CBeebies Recipes | Welsh Glamorgan Sausages
146556,25,CnZgza9AyhA,2018-09-06 12:51:22,,,Fisher Price Little People 113 | Sometimes Enough is Enough! | Full Episodes HD | Videos For Kids
146557,25,hlGoGzCOmGc,2018-09-05 12:52:54,,,Mr.Sugi Sivam Motivational speech -Chettinad College-Part 1
146558,25,_pJZ8ceLtro,2018-09-05 12:52:37,,,Motivational Speech for Students - Tamil (part 1)
146560,25,Dx8c0iAMR-s,2018-08-28 11:44:41,,,என்ன குழம்புக்கு என்ன காய் வைக்கனும்னு தெரியுமா?/30 minute simple Lunch preparation/Lunch menu
146561,25,UBFJsZn6rfQ,2018-08-28 11:34:28,,,அப்பாடா..இனி சட்னி பிரச்சனை இல்லை/7 Chutney varieties/chutney recipe in Tamil/onion/tomato/chutney
146562,25,mV7NhOzQWtI,2018-08-28 11:27:59,,,தினம் என்ன சட்னி வைக்கறதுனு குழப்பமா இந்த சட்னி டிரை பண்ணுங்க : தக்காளி கட்டி சட்னி
146563,25,xpi_i8Babi8,2018-08-28 11:21:11,,,சுலபமான முறையில் செய்யலாம் மஷ்ரூம் பிரியாணி/Mushroom Briyani
146564,25,A0KqPIGXZHs,2018-08-28 11:16:54,,,Mushroom Biryani Recipe in Tamil / How to make Mushroom Biryani in Tamil
146565,25,T54Uc8c7NhM,2018-08-28 10:54:41,,,Kadai Paneer recipe in Tamil| Complete North Indian Style | DeepsTamilKitchen
146566,25,JHpBs13tYnQ,2018-08-28 10:47:46,,,Paneer Butter Masala Recipe in Tamil | Paneer Masala Recipe in Tamil [with tips & tricks 15 mins]
146567,25,27GOa6Ukars,2018-08-28 10:41:58,,,ஹோட்டல்ல சாப்பிடுற மாதிரி காளான் கிரேவி செய்து பாருங்க/Hotel style special mushroom gravy
146568,25,5_cIM4PGd2U,2018-08-28 10:41:21,,,Semiya Payasam / Payasam Recipe in Tamil / How to make Payasam in Tamil
146569,25,HCAgXkv2r6M,2018-08-28 10:38:07,,,Mushroom Gravy in Tamil | Mushroom Masala Recipe in Tamil | Mushroom Recipe in Tamil
146570,25,llgFprnmrRU,2018-08-25 01:14:21,,,HELP! My Teacher's a FLOSS CHAMPION!! | YOUR COMMENTS COME TO LIFE
146571,25,wk2LgzWd4OQ,2018-08-25 01:11:50,,,Skip Counting By 3 Song
146572,25,Yl_K2Ata6XY,2018-08-25 01:11:24,,,Is Our Food Becoming Less Nutritious?
